date,NO,NO2,NOXasNO2,wd,ws,temp,site,code
2018-01-01 00:00:00,0.25166,4.755,5.14087,,,,Borehamwood Meadow Park,BDMP
2018-01-01 01:00:00,0.12583,6.87575,7.06869,,,,Borehamwood Meadow Park,BDMP
2018-01-01 02:00:00,0.28312,5.78313,6.21723,,,,Borehamwood Meadow Park,BDMP
2018-01-01 03:00:00,0.2202,3.75899,4.09663,,,,Borehamwood Meadow Park,BDMP
2018-01-01 04:00:00,0.18874,3.27707,3.56647,,,,Borehamwood Meadow Park,BDMP
2018-01-01 05:00:00,0.15729,4.09644,4.3376,,,,Borehamwood Meadow Park,BDMP
2018-01-01 06:00:00,0.28312,6.21689,6.65099,,,,Borehamwood Meadow Park,BDMP
2018-01-01 07:00:00,0.40894,15.18112,15.80816,,,,Borehamwood Meadow Park,BDMP
2018-01-01 08:00:00,0.91226,22.60264,24.00141,,,,Borehamwood Meadow Park,BDMP
2018-01-01 09:00:00,1.50994,25.10808,27.4233,,,,Borehamwood Meadow Park,BDMP
2018-01-01 10:00:00,2.73677,33.73361,37.92994,,,,Borehamwood Meadow Park,BDMP
2018-01-01 11:00:00,6.606,49.34431,59.47337,,,,Borehamwood Meadow Park,BDMP
2018-01-01 12:00:00,2.6424,27.56469,31.61631,,,,Borehamwood Meadow Park,BDMP
2018-01-01 13:00:00,0.59769,8.67449,9.59093,,,,Borehamwood Meadow Park,BDMP
2018-01-01 14:00:00,0.47186,6.40945,7.13295,,,,Borehamwood Meadow Park,BDMP
2018-01-01 15:00:00,0.53477,9.83126,10.65123,,,,Borehamwood Meadow Park,BDMP
2018-01-01 16:00:00,0.56623,13.97604,14.84425,,,,Borehamwood Meadow Park,BDMP
2018-01-01 17:00:00,0.4404,10.74709,11.42236,,,,Borehamwood Meadow Park,BDMP
2018-01-01 18:00:00,0.37749,8.57836,9.15717,,,,Borehamwood Meadow Park,BDMP
2018-01-01 19:00:00,0.2202,5.25305,5.59069,,,,Borehamwood Meadow Park,BDMP
2018-01-01 20:00:00,0.15729,3.85546,4.09663,,,,Borehamwood Meadow Park,BDMP
2018-01-01 21:00:00,0.12583,3.42174,3.61467,,,,Borehamwood Meadow Park,BDMP
2018-01-01 22:00:00,0.12583,3.66271,3.85565,,,,Borehamwood Meadow Park,BDMP
2018-01-01 23:00:00,0.0,2.55437,2.55437,,,,Borehamwood Meadow Park,BDMP
2018-01-02 00:00:00,0.04196,3.21455,3.27889,,,,Borehamwood Meadow Park,BDMP
2018-01-02 01:00:00,0.0,4.95048,4.95048,,,,Borehamwood Meadow Park,BDMP
