date,NO,NO2,NOXasNO2,site,code
2018-01-01,0.83099,11.8859,13.16008,Borehamwood Meadow Park,BDMP
2018-01-02,4.54542,25.94125,32.9108,Borehamwood Meadow Park,BDMP
2018-01-03,0.45567,6.42378,7.12245,Borehamwood Meadow Park,BDMP
2018-01-04,1.71805,17.9363,20.57061,Borehamwood Meadow Park,BDMP
2018-01-05,9.42881,30.02306,44.48037,Borehamwood Meadow Park,BDMP
2018-01-06,18.33847,23.24237,51.36097,Borehamwood Meadow Park,BDMP
2018-01-07,0.47752,6.99822,7.7304,Borehamwood Meadow Park,BDMP
2018-01-08,3.69344,21.23737,26.90057,Borehamwood Meadow Park,BDMP
2018-01-09,25.4882,38.65966,77.74102,Borehamwood Meadow Park,BDMP
2018-01-10,30.59452,34.45712,81.36806,Borehamwood Meadow Park,BDMP
2018-01-11,15.54904,32.42622,56.26774,Borehamwood Meadow Park,BDMP
2018-01-12,16.62036,36.98916,62.47335,Borehamwood Meadow Park,BDMP
2018-01-13,3.67628,26.08415,31.72104,Borehamwood Meadow Park,BDMP
2018-01-14,2.57354,29.46085,33.40689,Borehamwood Meadow Park,BDMP
2018-01-15,1.42716,17.87401,20.0623,Borehamwood Meadow Park,BDMP
2018-01-16,0.94087,12.27107,13.71372,Borehamwood Meadow Park,BDMP
2018-01-17,1.00422,12.1974,13.73719,Borehamwood Meadow Park,BDMP
2018-01-18,1.09669,13.68135,15.36291,Borehamwood Meadow Park,BDMP
2018-01-19,4.28257,24.76087,31.3274,Borehamwood Meadow Park,BDMP
2018-01-20,2.39849,28.60454,32.28217,Borehamwood Meadow Park,BDMP
2018-01-21,5.55916,39.02844,47.55236,Borehamwood Meadow Park,BDMP
2018-01-22,8.5921,28.33324,41.50761,Borehamwood Meadow Park,BDMP
2018-01-23,1.91722,21.6793,24.619,Borehamwood Meadow Park,BDMP
2018-01-24,1.17998,20.31175,22.12104,Borehamwood Meadow Park,BDMP
2018-01-25,4.77725,35.26227,42.58729,Borehamwood Meadow Park,BDMP
2018-01-26,7.74413,32.73694,44.61111,Borehamwood Meadow Park,BDMP
2018-01-27,7.55177,31.19264,42.77186,Borehamwood Meadow Park,BDMP
2018-01-28,0.42764,5.78746,6.44317,Borehamwood Meadow Park,BDMP
2018-01-29,1.13749,16.97653,18.72066,Borehamwood Meadow Park,BDMP
2018-01-30,30.97921,44.10753,91.60833,Borehamwood Meadow Park,BDMP
2018-01-31,0.9056,12.04139,13.42996,Borehamwood Meadow Park,BDMP
2018-02-01,1.0059,12.86899,14.41136,Borehamwood Meadow Park,BDMP
2018-02-02,12.60975,23.45403,42.78871,Borehamwood Meadow Park,BDMP
2018-02-03,3.7935,35.55644,41.37306,Borehamwood Meadow Park,BDMP
2018-02-04,0.45609,7.5581,8.25742,Borehamwood Meadow Park,BDMP
2018-02-05,1.28273,16.11927,18.08609,Borehamwood Meadow Park,BDMP
2018-02-06,2.27404,27.2998,30.78661,Borehamwood Meadow Park,BDMP
