date,O3,NO,NO2,NOXasNO2,wd,ws,temp,site,code
2018-01-01 00:00:00,65.32591,0.36708,1.00358,1.56642,270.1,6.0,2.2,High Muffles,HM
2018-01-01 01:00:00,65.8581,0.2855,1.066,1.50376,256.0,6.4,2.0,High Muffles,HM
2018-01-01 02:00:00,67.15531,0.27531,1.22261,1.64474,249.6,6.5,1.9,High Muffles,HM
2018-01-01 03:00:00,66.40692,0.24472,1.26951,1.64474,242.7,6.3,2.6,High Muffles,HM
2018-01-01 04:00:00,66.20735,0.3059,2.16255,2.63159,236.9,6.7,2.8,High Muffles,HM
2018-01-01 05:00:00,62.41552,0.3059,2.30353,2.77256,241.0,7.0,2.7,High Muffles,HM
2018-01-01 06:00:00,63.76262,0.21413,0.98747,1.31579,249.1,7.3,2.7,High Muffles,HM
2018-01-01 07:00:00,67.45466,0.18354,1.03437,1.31579,252.1,7.0,2.6,High Muffles,HM
2018-01-01 08:00:00,66.45681,0.3059,1.50465,1.97369,251.1,6.5,2.5,High Muffles,HM
2018-01-01 09:00:00,63.51315,0.45885,2.53894,3.24249,252.1,6.6,3.0,High Muffles,HM
2018-01-01 10:00:00,58.42412,0.52003,4.23085,5.02821,254.3,6.3,3.2,High Muffles,HM
2018-01-01 11:00:00,56.07917,0.45885,5.59345,6.29701,254.4,6.4,3.9,High Muffles,HM
2018-01-01 12:00:00,52.68648,0.45885,6.43932,7.14287,251.2,6.9,4.7,High Muffles,HM
2018-01-01 13:00:00,49.59315,0.85651,10.7168,12.0301,243.2,6.7,4.7,High Muffles,HM
2018-01-01 14:00:00,44.45422,0.45885,12.2664,12.96995,238.1,5.7,4.0,High Muffles,HM
2018-01-01 15:00:00,42.75787,0.24472,10.52705,10.90228,231.0,5.0,3.9,High Muffles,HM
2018-01-01 16:00:00,48.5953,0.27531,10.48015,10.90228,221.5,3.9,4.0,High Muffles,HM
2018-01-01 17:00:00,46.5497,0.45885,10.57467,11.27822,269.5,2.7,3.6,High Muffles,HM
2018-01-01 18:00:00,45.70153,0.33649,3.76039,4.27633,332.2,7.6,4.5,High Muffles,HM
2018-01-01 19:00:00,60.61939,0.33649,2.86753,3.38347,332.3,8.8,3.6,High Muffles,HM
2018-01-01 20:00:00,60.5196,0.3059,2.25653,2.72557,324.2,8.5,3.3,High Muffles,HM
2018-01-01 21:00:00,61.76692,0.33649,1.03482,1.55076,320.5,7.6,2.3,High Muffles,HM
2018-01-01 22:00:00,65.70842,0.3059,0.98773,1.45677,310.0,8.0,2.3,High Muffles,HM
2018-01-01 23:00:00,66.20735,0.3059,1.12871,1.59775,301.7,7.6,2.8,High Muffles,HM
2018-01-02 00:00:00,64.46111,0.32633,0.87811,1.37848,293.7,6.9,1.7,High Muffles,HM
2018-01-02 01:00:00,65.39244,0.16316,0.56437,0.81455,289.0,6.7,2.0,High Muffles,HM
2018-01-02 02:00:00,66.75617,0.15297,0.42336,0.65791,292.2,6.3,2.0,High Muffles,HM
2018-01-02 03:00:00,67.45466,0.27534,0.4237,0.84588,291.1,6.0,2.0,High Muffles,HM
2018-01-02 04:00:00,65.60864,0.24475,0.61159,0.98686,288.0,5.4,1.9,High Muffles,HM
2018-01-02 05:00:00,61.66713,0.15297,0.79931,1.03386,272.5,4.0,1.2,High Muffles,HM
2018-01-02 06:00:00,62.06627,0.18356,0.79939,1.08085,258.5,3.5,0.2,High Muffles,HM
2018-01-02 07:00:00,57.67573,0.36712,1.64578,2.20869,243.8,3.8,0.9,High Muffles,HM
2018-01-02 08:00:00,54.68218,0.30593,6.10999,6.57908,229.8,4.0,1.4,High Muffles,HM
2018-01-02 09:00:00,49.99229,0.70365,10.85743,11.93634,217.2,5.3,1.7,High Muffles,HM
2018-01-02 10:00:00,46.05078,0.55068,12.92472,13.76908,217.2,7.3,2.4,High Muffles,HM
2018-01-02 11:00:00,46.40003,0.58127,14.09964,14.99091,199.5,9.2,2.6,High Muffles,HM
2018-01-02 12:00:00,47.04863,0.52009,12.07875,12.87621,190.2,8.9,3.3,High Muffles,HM
2018-01-02 13:00:00,54.98154,0.27534,11.79612,12.2183,208.6,9.0,3.9,High Muffles,HM
2018-01-02 14:00:00,53.43487,0.21415,13.39373,13.72209,232.9,6.0,4.8,High Muffles,HM
2018-01-02 15:00:00,45.30239,0.18356,18.7039,18.98536,243.2,6.3,4.7,High Muffles,HM
2018-01-02 16:00:00,38.21766,0.30593,17.24744,17.71653,238.0,7.2,5.0,High Muffles,HM
2018-01-02 17:00:00,41.85981,0.30593,17.15345,17.62254,228.8,7.3,4.9,High Muffles,HM
2018-01-02 18:00:00,42.75787,0.33653,13.39406,13.91006,225.0,7.9,4.9,High Muffles,HM
2018-01-02 19:00:00,50.89035,0.27534,13.06494,13.48712,210.4,6.2,5.1,High Muffles,HM
2018-01-02 20:00:00,50.39143,0.36712,9.54068,10.10359,184.8,5.6,5.1,High Muffles,HM
2018-01-02 21:00:00,53.98369,0.33653,9.91655,10.43255,188.5,7.1,5.6,High Muffles,HM
2018-01-02 22:00:00,55.48046,0.36712,4.70036,5.26327,237.8,9.4,6.7,High Muffles,HM
2018-01-02 23:00:00,70.04907,0.30593,1.64561,2.11471,257.8,11.1,6.4,High Muffles,HM
2018-01-03 00:00:00,76.30226,0.32637,1.69265,2.19307,241.5,11.4,5.2,High Muffles,HM
2018-01-03 01:00:00,80.6928,0.24478,1.1285,1.50382,250.3,11.5,4.7,High Muffles,HM
2018-01-03 02:00:00,82.27273,0.30597,1.08167,1.55081,258.8,13.3,4.7,High Muffles,HM
2018-01-03 03:00:00,80.4766,0.39776,0.98792,1.59781,278.5,15.9,4.9,High Muffles,HM
2018-01-03 04:00:00,81.97338,0.27537,0.9876,1.40983,293.8,16.7,3.6,High Muffles,HM
2018-01-03 05:00:00,82.4723,0.27537,0.9406,1.36284,305.3,15.8,3.7,High Muffles,HM
2018-01-03 06:00:00,80.17725,0.30597,1.08167,1.55081,304.1,12.4,3.6,High Muffles,HM
2018-01-03 07:00:00,73.34198,0.15299,1.31624,1.55081,298.6,11.6,4.1,High Muffles,HM
2018-01-03 08:00:00,72.24434,0.27537,1.41055,1.83278,294.8,11.4,5.1,High Muffles,HM
2018-01-03 09:00:00,73.59144,0.33657,1.41071,1.92677,289.8,10.9,5.0,High Muffles,HM
2018-01-03 10:00:00,70.29853,0.39776,1.64584,2.25573,289.5,11.5,5.7,High Muffles,HM
2018-01-03 11:00:00,69.8495,0.36716,1.59876,2.16174,284.1,11.5,6.1,High Muffles,HM
2018-01-03 12:00:00,71.34628,0.33657,2.16262,2.67868,281.5,10.3,5.9,High Muffles,HM
2018-01-03 13:00:00,71.8452,0.45895,2.35091,3.05463,279.7,8.9,5.6,High Muffles,HM
2018-01-03 14:00:00,71.64563,0.30597,2.20953,2.67868,277.5,7.8,5.3,High Muffles,HM
2018-01-03 15:00:00,72.14456,0.33657,1.97464,2.4907,275.6,7.1,4.7,High Muffles,HM
2018-01-03 16:00:00,70.39832,0.24478,1.78642,2.16174,279.8,8.7,4.7,High Muffles,HM
2018-01-03 17:00:00,69.60004,0.30597,1.78658,2.25573,279.4,10.0,4.8,High Muffles,HM
2018-01-03 18:00:00,69.00133,0.24478,1.45746,1.83278,273.8,11.1,5.0,High Muffles,HM
2018-01-03 19:00:00,71.99488,0.21418,1.50438,1.83278,270.0,10.0,5.4,High Muffles,HM
2018-01-03 20:00:00,71.94499,0.36716,1.08183,1.6448,269.3,9.4,5.5,High Muffles,HM
2018-01-03 21:00:00,72.94284,0.30597,1.26964,1.73879,269.7,8.7,5.5,High Muffles,HM
2018-01-03 22:00:00,73.09251,0.36716,1.2698,1.83278,268.8,8.6,5.4,High Muffles,HM
2018-01-03 23:00:00,71.29638,0.30597,1.22265,1.6918,272.7,8.3,5.2,High Muffles,HM
2018-01-04 00:00:00,69.11774,0.2856,1.50455,1.94247,281.4,7.1,4.3,High Muffles,HM
2018-01-04 01:00:00,69.25079,0.2856,0.94061,1.37853,271.4,5.8,4.1,High Muffles,HM
2018-01-04 02:00:00,67.10541,0.2754,0.65861,1.08089,283.9,6.0,3.9,High Muffles,HM
2018-01-04 03:00:00,64.81036,0.39781,1.03487,1.64483,259.0,3.5,3.0,High Muffles,HM
2018-01-04 04:00:00,62.41552,0.33661,1.12871,1.64483,247.8,3.3,2.9,High Muffles,HM
2018-01-04 05:00:00,61.01853,0.2448,1.22248,1.59784,239.6,3.2,3.1,High Muffles,HM
2018-01-04 06:00:00,59.27229,0.2142,1.88033,2.20877,230.8,3.6,3.5,High Muffles,HM
2018-01-04 07:00:00,56.02928,0.36721,5.12338,5.68642,224.7,3.7,3.7,High Muffles,HM
2018-01-04 08:00:00,49.74282,0.48961,8.88329,9.63401,216.7,4.1,3.8,High Muffles,HM
2018-01-04 09:00:00,46.49981,0.52021,12.17303,12.97067,204.1,4.3,3.8,High Muffles,HM
2018-01-04 10:00:00,46.10067,0.48961,7.23846,7.98918,185.7,4.3,3.3,High Muffles,HM
2018-01-04 11:00:00,58.77337,0.55081,5.49979,6.34435,143.2,4.2,3.1,High Muffles,HM
2018-01-04 12:00:00,65.05982,0.45901,3.99572,4.69952,132.3,5.7,3.2,High Muffles,HM
2018-01-04 13:00:00,66.20735,0.33661,5.45227,5.96839,136.2,5.1,3.6,High Muffles,HM
2018-01-04 14:00:00,60.27014,0.36721,7.19116,7.75421,175.0,2.7,3.9,High Muffles,HM
2018-01-04 15:00:00,55.8796,0.36721,9.39994,9.96298,226.3,3.7,4.6,High Muffles,HM
2018-01-04 16:00:00,52.5867,0.67321,11.79744,12.82969,266.5,5.9,5.2,High Muffles,HM
2018-01-04 17:00:00,49.49336,0.1836,11.51427,11.79579,324.7,12.0,3.5,High Muffles,HM
