date,O3,site,code
2018-01-01 00:00:00,66.05351,High Muffles,HM
2018-01-01 01:00:00,65.66685,High Muffles,HM
2018-01-01 02:00:00,66.0348,High Muffles,HM
2018-01-01 03:00:00,66.33416,High Muffles,HM
2018-01-01 04:00:00,66.27803,High Muffles,HM
2018-01-01 05:00:00,66.1034,High Muffles,HM
2018-01-01 06:00:00,65.39244,High Muffles,HM
2018-01-01 07:00:00,65.5733,High Muffles,HM
2018-01-01 08:00:00,65.71466,High Muffles,HM
2018-01-01 09:00:00,65.42154,High Muffles,HM
2018-01-01 10:00:00,64.33014,High Muffles,HM
2018-01-01 11:00:00,63.03917,High Muffles,HM
2018-01-01 12:00:00,61.34907,High Muffles,HM
2018-01-01 13:00:00,59.74627,High Muffles,HM
2018-01-01 14:00:00,57.33272,High Muffles,HM
2018-01-01 15:00:00,54.24562,High Muffles,HM
2018-01-01 16:00:00,52.01293,High Muffles,HM
2018-01-01 17:00:00,49.8925,High Muffles,HM
2018-01-01 18:00:00,48.30218,High Muffles,HM
2018-01-01 19:00:00,48.8697,High Muffles,HM
2018-01-01 20:00:00,49.84884,High Muffles,HM
2018-01-01 21:00:00,51.37057,High Muffles,HM
2018-01-01 22:00:00,54.02734,High Muffles,HM
2018-01-01 23:00:00,56.95853,High Muffles,HM
2018-01-02 00:00:00,58.94175,High Muffles,HM
2018-01-02 01:00:00,61.29709,High Muffles,HM
2018-01-02 02:00:00,63.92892,High Muffles,HM
2018-01-02 03:00:00,64.78333,High Muffles,HM
2018-01-02 04:00:00,65.41946,High Muffles,HM
2018-01-02 05:00:00,65.40699,High Muffles,HM
2018-01-02 06:00:00,64.95172,High Muffles,HM
2018-01-02 07:00:00,63.88527,High Muffles,HM
2018-01-02 08:00:00,62.6629,High Muffles,HM
2018-01-02 09:00:00,60.73788,High Muffles,HM
2018-01-02 10:00:00,58.14971,High Muffles,HM
2018-01-02 11:00:00,55.51788,High Muffles,HM
2018-01-02 12:00:00,53.19788,High Muffles,HM
2018-01-02 13:00:00,52.36218,High Muffles,HM
2018-01-02 14:00:00,51.28325,High Muffles,HM
2018-01-02 15:00:00,49.73659,High Muffles,HM
2018-01-02 16:00:00,47.67852,High Muffles,HM
2018-01-02 17:00:00,46.66196,High Muffles,HM
2018-01-02 18:00:00,46.25035,High Muffles,HM
2018-01-02 19:00:00,46.81164,High Muffles,HM
2018-01-02 20:00:00,47.22949,High Muffles,HM
2018-01-02 21:00:00,47.10476,High Muffles,HM
2018-01-02 22:00:00,47.36046,High Muffles,HM
2018-01-02 23:00:00,50.45379,High Muffles,HM
2018-01-03 00:00:00,55.21437,High Muffles,HM
2018-01-03 01:00:00,60.06849,High Muffles,HM
2018-01-03 02:00:00,65.00785,High Muffles,HM
2018-01-03 03:00:00,68.70613,High Muffles,HM
2018-01-03 04:00:00,72.65387,High Muffles,HM
2018-01-03 05:00:00,76.21495,High Muffles,HM
2018-01-03 06:00:00,79.30205,High Muffles,HM
2018-01-03 07:00:00,79.71366,High Muffles,HM
2018-01-03 08:00:00,79.20642,High Muffles,HM
2018-01-03 09:00:00,78.31875,High Muffles,HM
2018-01-03 10:00:00,76.82198,High Muffles,HM
2018-01-03 11:00:00,75.49359,High Muffles,HM
2018-01-03 12:00:00,74.1652,High Muffles,HM
2018-01-03 13:00:00,72.83681,High Muffles,HM
2018-01-03 14:00:00,71.77036,High Muffles,HM
2018-01-03 15:00:00,71.62068,High Muffles,HM
2018-01-03 16:00:00,71.38993,High Muffles,HM
2018-01-03 17:00:00,70.89101,High Muffles,HM
2018-01-03 18:00:00,70.72886,High Muffles,HM
2018-01-03 19:00:00,70.99703,High Muffles,HM
2018-01-03 20:00:00,71.07187,High Muffles,HM
2018-01-03 21:00:00,71.20907,High Muffles,HM
2018-01-03 22:00:00,71.38993,High Muffles,HM
2018-01-03 23:00:00,71.28391,High Muffles,HM
2018-01-04 00:00:00,71.12384,High Muffles,HM
2018-01-04 01:00:00,71.08018,High Muffles,HM
2018-01-04 02:00:00,70.84319,High Muffles,HM
