date,O3,site,code
2018-01-01,66.33416,High Muffles,HM
2018-01-02,65.41946,High Muffles,HM
2018-01-03,79.71366,High Muffles,HM
2018-01-04,71.12384,High Muffles,HM
2018-01-05,61.49458,High Muffles,HM
2018-01-06,73.42305,High Muffles,HM
2018-01-07,70.09896,High Muffles,HM
2018-01-08,73.3794,High Muffles,HM
2018-01-09,55.21437,High Muffles,HM
2018-01-10,24.68432,High Muffles,HM
2018-01-11,26.15614,High Muffles,HM
2018-01-12,49.53078,High Muffles,HM
2018-01-13,46.98003,High Muffles,HM
2018-01-14,39.5897,High Muffles,HM
2018-01-15,66.68133,High Muffles,HM
2018-01-16,74.14026,High Muffles,HM
2018-01-17,74.98843,High Muffles,HM
2018-01-18,74.028,High Muffles,HM
2018-01-19,73.03015,High Muffles,HM
2018-01-20,68.87452,High Muffles,HM
2018-01-21,70.78914,High Muffles,HM
2018-01-22,72.82434,High Muffles,HM
2018-01-23,66.34039,High Muffles,HM
2018-01-24,81.77381,High Muffles,HM
2018-01-25,63.1639,High Muffles,HM
2018-01-26,60.10175,High Muffles,HM
2018-01-27,69.87445,High Muffles,HM
2018-01-28,72.14248,High Muffles,HM
2018-01-29,72.64348,High Muffles,HM
2018-01-30,66.09925,High Muffles,HM
2018-01-31,74.38972,High Muffles,HM
2018-02-01,66.38821,High Muffles,HM
2018-02-02,61.03724,High Muffles,HM
2018-02-03,60.03315,High Muffles,HM
2018-02-04,65.48391,High Muffles,HM
2018-02-05,64.40498,High Muffles,HM
2018-02-06,57.46369,High Muffles,HM
2018-02-07,74.09036,High Muffles,HM
2018-02-08,44.85752,High Muffles,HM
2018-02-09,63.10154,High Muffles,HM
2018-02-10,61.28046,High Muffles,HM
2018-02-11,75.02585,High Muffles,HM
2018-02-12,76.95918,High Muffles,HM
2018-02-13,64.32391,High Muffles,HM
2018-02-14,,High Muffles,HM
2018-02-15,77.10262,High Muffles,HM
2018-02-16,68.77473,High Muffles,HM
2018-02-17,41.84318,High Muffles,HM
2018-02-18,37.86217,High Muffles,HM
2018-02-19,,High Muffles,HM
2018-02-20,,High Muffles,HM
2018-02-21,76.42907,High Muffles,HM
2018-02-22,74.80133,High Muffles,HM
2018-02-23,75.17552,High Muffles,HM
2018-02-24,74.71402,High Muffles,HM
2018-02-25,80.43918,High Muffles,HM
2018-02-26,86.22048,High Muffles,HM
2018-02-27,86.96886,High Muffles,HM
2018-02-28,85.87123,High Muffles,HM
2018-03-01,91.91446,High Muffles,HM
2018-03-02,91.43632,High Muffles,HM
2018-03-03,81.91101,High Muffles,HM
2018-03-04,81.14392,High Muffles,HM
2018-03-05,78.4518,High Muffles,HM
2018-03-06,70.73093,High Muffles,HM
2018-03-07,57.00218,High Muffles,HM
2018-03-08,68.54606,High Muffles,HM
2018-03-09,67.44011,High Muffles,HM
2018-03-10,58.6029,High Muffles,HM
2018-03-11,73.24219,High Muffles,HM
2018-03-12,71.0095,High Muffles,HM
2018-03-13,66.9391,High Muffles,HM
2018-03-14,70.82864,High Muffles,HM
2018-03-15,62.71279,High Muffles,HM
2018-03-16,69.86197,High Muffles,HM
2018-03-17,89.72542,High Muffles,HM
2018-03-18,96.65425,High Muffles,HM
2018-03-19,97.20306,High Muffles,HM
2018-03-20,88.13094,High Muffles,HM
2018-03-21,83.24564,High Muffles,HM
2018-03-22,90.44263,High Muffles,HM
2018-03-23,90.63596,High Muffles,HM
2018-03-24,83.92958,High Muffles,HM
2018-03-25,95.60027,High Muffles,HM
2018-03-26,98.9493,High Muffles,HM
2018-03-27,75.17552,High Muffles,HM
2018-03-28,85.72155,High Muffles,HM
2018-03-29,83.96908,High Muffles,HM
2018-03-30,84.49087,High Muffles,HM
2018-03-31,83.33295,High Muffles,HM
2018-04-01,99.69769,High Muffles,HM
2018-04-02,91.84586,High Muffles,HM
2018-04-03,79.07338,High Muffles,HM
2018-04-04,93.34263,High Muffles,HM
2018-04-05,96.28629,High Muffles,HM
2018-04-06,73.74735,High Muffles,HM
2018-04-07,80.16478,High Muffles,HM
2018-04-08,83.02112,High Muffles,HM
2018-04-09,97.00349,High Muffles,HM
2018-04-10,93.79998,High Muffles,HM
2018-04-11,93.21166,High Muffles,HM
2018-04-12,89.47804,High Muffles,HM
2018-04-13,84.3994,High Muffles,HM
2018-04-14,89.04564,High Muffles,HM
2018-04-15,101.00737,High Muffles,HM
2018-04-16,101.33167,High Muffles,HM
2018-04-17,94.77496,High Muffles,HM
2018-04-18,92.245,High Muffles,HM
2018-04-19,127.61254,High Muffles,HM
2018-04-20,110.43081,High Muffles,HM
2018-04-21,101.48134,High Muffles,HM
2018-04-22,98.24457,High Muffles,HM
2018-04-23,96.98478,High Muffles,HM
2018-04-24,90.29919,High Muffles,HM
2018-04-25,94.1222,High Muffles,HM
2018-04-26,95.71876,High Muffles,HM
2018-04-27,95.70629,High Muffles,HM
2018-04-28,102.46049,High Muffles,HM
2018-04-29,102.18608,High Muffles,HM
2018-04-30,105.60371,High Muffles,HM
2018-05-01,105.09232,High Muffles,HM
2018-05-02,109.40802,High Muffles,HM
2018-05-03,98.12815,High Muffles,HM
2018-05-04,71.7766,High Muffles,HM
2018-05-05,90.68586,High Muffles,HM
2018-05-06,121.40716,High Muffles,HM
2018-05-07,147.02696,High Muffles,HM
2018-05-08,134.15678,High Muffles,HM
2018-05-09,74.12778,High Muffles,HM
2018-05-10,93.14306,High Muffles,HM
2018-05-11,99.40457,High Muffles,HM
2018-05-12,98.64371,High Muffles,HM
2018-05-13,94.18457,High Muffles,HM
2018-05-14,96.28629,High Muffles,HM
2018-05-15,102.03016,High Muffles,HM
2018-05-16,83.63854,High Muffles,HM
2018-05-17,80.49531,High Muffles,HM
2018-05-18,91.35317,High Muffles,HM
2018-05-19,106.68264,High Muffles,HM
2018-05-20,100.90134,High Muffles,HM
2018-05-21,137.34782,High Muffles,HM
2018-05-22,127.67906,High Muffles,HM
2018-05-23,115.19762,High Muffles,HM
2018-05-24,97.71654,High Muffles,HM
2018-05-25,96.83511,High Muffles,HM
2018-05-26,112.25189,High Muffles,HM
2018-05-27,130.13835,High Muffles,HM
2018-05-28,113.23103,High Muffles,HM
2018-05-29,112.61777,High Muffles,HM
