date,O3,NO,NO2,NOXasNO2,site,code
2018-01-01,58.92582,0.35858,4.08157,4.63138,High Muffles,HM
2018-01-02,54.69188,0.32505,8.03221,8.53062,High Muffles,HM
2018-01-03,74.20609,0.31064,1.4733,1.94961,High Muffles,HM
2018-01-04,58.83227,0.3553,4.92558,5.47037,High Muffles,HM
2018-01-05,52.63312,0.3851,4.9185,5.50898,High Muffles,HM
2018-01-06,66.75238,0.29077,0.86158,1.30743,High Muffles,HM
2018-01-07,65.25454,0.29336,1.01496,1.46476,High Muffles,HM
2018-01-08,67.44842,0.3627,3.47204,4.02818,High Muffles,HM
2018-01-09,22.51399,0.79735,16.65289,17.87548,High Muffles,HM
2018-01-10,10.4996,2.2673,24.33991,27.81639,High Muffles,HM
2018-01-11,20.68252,0.89963,12.14586,13.52526,High Muffles,HM
2018-01-12,38.46227,0.47603,8.91337,9.64327,High Muffles,HM
2018-01-13,37.04449,0.38163,13.04505,13.63021,High Muffles,HM
2018-01-14,36.23581,0.36934,13.33442,13.90074,High Muffles,HM
2018-01-15,55.14784,0.39066,7.1744,7.7734,High Muffles,HM
2018-01-16,72.06487,0.28132,2.00575,2.43711,High Muffles,HM
2018-01-17,69.87168,0.29796,2.85448,3.31134,High Muffles,HM
2018-01-18,68.94797,0.30353,2.84927,3.31467,High Muffles,HM
2018-01-19,69.39354,0.40106,2.41316,3.02811,High Muffles,HM
2018-01-20,58.0714,0.38322,5.88724,6.47484,High Muffles,HM
2018-01-21,59.1635,0.47099,6.77264,7.49482,High Muffles,HM
2018-01-22,67.50732,0.36372,3.322,3.8797,High Muffles,HM
2018-01-23,55.32247,0.44938,7.96959,8.65863,High Muffles,HM
2018-01-24,68.56754,0.38127,5.35986,5.94447,High Muffles,HM
2018-01-25,53.8934,0.57006,8.53017,9.40424,High Muffles,HM
2018-01-26,49.26469,0.52357,7.56374,8.36653,High Muffles,HM
2018-01-27,41.97345,0.62916,16.29757,17.26226,High Muffles,HM
2018-01-28,63.93862,0.38547,2.07092,2.66196,High Muffles,HM
2018-01-29,69.95968,0.37606,1.80043,2.37704,High Muffles,HM
2018-01-30,59.31872,0.40328,5.99625,6.6146,High Muffles,HM
2018-01-31,65.38551,0.3168,3.20425,3.69001,High Muffles,HM
2018-02-01,63.72034,0.30187,2.95219,3.41505,High Muffles,HM
2018-02-02,52.32476,0.41721,3.30641,3.94613,High Muffles,HM
2018-02-03,50.6104,0.36907,2.52609,3.09199,High Muffles,HM
2018-02-04,60.59167,0.29625,0.90444,1.35868,High Muffles,HM
2018-02-05,60.76699,0.35623,1.70977,2.25598,High Muffles,HM
2018-02-06,55.66132,0.36769,6.5409,7.10468,High Muffles,HM
2018-02-07,61.14118,0.55531,7.45508,8.30654,High Muffles,HM
2018-02-08,31.66303,1.02031,23.47045,25.03491,High Muffles,HM
2018-02-09,59.9791,0.50117,6.35136,7.11981,High Muffles,HM
2018-02-10,47.68337,0.43944,10.05707,10.73087,High Muffles,HM
2018-02-11,73.67251,0.32838,1.61999,2.1235,High Muffles,HM
2018-02-12,68.89184,0.34324,4.56566,5.09194,High Muffles,HM
2018-02-13,60.98596,0.29982,7.32092,7.78065,High Muffles,HM
2018-02-14,,0.57493,10.58971,11.47125,High Muffles,HM
2018-02-15,67.61808,0.43796,4.76327,5.43479,High Muffles,HM
2018-02-16,53.77234,0.99998,10.37864,11.91192,High Muffles,HM
2018-02-17,34.59144,0.75756,16.80252,17.9641,High Muffles,HM
2018-02-18,30.74002,1.13581,17.53699,19.27855,High Muffles,HM
2018-02-19,,,,,High Muffles,HM
2018-02-20,,,,,High Muffles,HM
2018-02-21,71.68028,0.25098,1.11842,1.50324,High Muffles,HM
2018-02-22,66.34109,0.35004,4.02812,4.56483,High Muffles,HM
2018-02-23,71.45299,0.34896,3.62348,4.15855,High Muffles,HM
2018-02-24,69.42541,0.42737,4.62791,5.2832,High Muffles,HM
2018-02-25,75.79225,0.38245,2.90471,3.49112,High Muffles,HM
2018-02-26,83.1611,0.2892,1.19926,1.64268,High Muffles,HM
2018-02-27,80.45304,0.37511,1.22576,1.80092,High Muffles,HM
2018-02-28,82.30322,0.36752,1.42636,1.98987,High Muffles,HM
2018-03-01,89.96449,0.32113,1.23215,1.72454,High Muffles,HM
2018-03-02,83.21722,0.19315,1.67407,1.97024,High Muffles,HM
2018-03-03,77.88289,0.32722,5.35883,5.86056,High Muffles,HM
2018-03-04,43.06554,1.40447,14.74118,16.89467,High Muffles,HM
2018-03-05,65.46589,0.79989,8.33453,9.56101,High Muffles,HM
2018-03-06,52.03233,0.74052,10.72184,11.85728,High Muffles,HM
2018-03-07,45.49295,0.91728,15.22067,16.62714,High Muffles,HM
2018-03-08,52.2229,1.61207,10.87376,13.34557,High Muffles,HM
2018-03-09,58.53083,0.96664,7.83278,9.31494,High Muffles,HM
2018-03-10,38.93417,1.43402,13.28462,15.48343,High Muffles,HM
2018-03-11,62.2506,0.47145,3.93148,4.65435,High Muffles,HM
2018-03-12,64.52833,0.29358,2.01215,2.4623,High Muffles,HM
2018-03-13,57.06039,0.50999,3.86519,4.64716,High Muffles,HM
2018-03-14,58.87107,0.87794,10.41213,11.75828,High Muffles,HM
2018-03-15,50.24729,0.40936,11.87955,12.50722,High Muffles,HM
